number,thumb,full
0505,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2252490--c036f60609c604112400a92553c64308c670ab88552a9b7efc3664f523b1c932.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2252490--c036f60609c604112400a92553c64308c670ab88552a9b7efc3664f523b1c932.jpeg/full/3500,/0/default.jpg"
0506,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6626376--63d38ec7aa5a0fadaeb42bdb716e25fb2b993a8e336c996fb0bfeeb7300cd054.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6626376--63d38ec7aa5a0fadaeb42bdb716e25fb2b993a8e336c996fb0bfeeb7300cd054.jpeg/full/3500,/0/default.jpg"
0507,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6221544--8c7c17ef14a8139834f27abe4e0a87cce802dd5e576994730bec05c537678ffb.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6221544--8c7c17ef14a8139834f27abe4e0a87cce802dd5e576994730bec05c537678ffb.jpeg/full/3500,/0/default.jpg"
0508,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2247273--2af8d507519fd00043d9a499c9e90b4d818127a61ee757779ba1bc8e3efd56dd.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2247273--2af8d507519fd00043d9a499c9e90b4d818127a61ee757779ba1bc8e3efd56dd.jpeg/full/3500,/0/default.jpg"
0509,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2247273--2af8d507519fd00043d9a499c9e90b4d818127a61ee757779ba1bc8e3efd56dd.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2247273--2af8d507519fd00043d9a499c9e90b4d818127a61ee757779ba1bc8e3efd56dd.jpeg/full/3500,/0/default.jpg"
0510,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2183509--b643b6b5df217f57861204573f4781a88c9b390df7f573b378b64ff4db3ef2df.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2183509--b643b6b5df217f57861204573f4781a88c9b390df7f573b378b64ff4db3ef2df.jpeg/full/3500,/0/default.jpg"
0511,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6551720--fd1bf9e741adc5f3fc1c9f70702bc5dda79c87649367f9e4f2dcf5c78761787b.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6551720--fd1bf9e741adc5f3fc1c9f70702bc5dda79c87649367f9e4f2dcf5c78761787b.jpeg/full/3500,/0/default.jpg"
0512,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2510515--3fb634b160a7798c34e5b56ebcbfe21dddf028a0eedaa94e9e08ac944ef72815.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2510515--3fb634b160a7798c34e5b56ebcbfe21dddf028a0eedaa94e9e08ac944ef72815.jpeg/full/3500,/0/default.jpg"
0513,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6603305--2272233b2ded08a09a32d8834901c4eed8cd20099cb643c2f22957687df807d9.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6603305--2272233b2ded08a09a32d8834901c4eed8cd20099cb643c2f22957687df807d9.jpeg/full/3500,/0/default.jpg"
0514,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6444030--09ac507d6f2207ed417ccd43ede5db87f3fe326d8e4b98fefa5f01d727a2c73c.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6444030--09ac507d6f2207ed417ccd43ede5db87f3fe326d8e4b98fefa5f01d727a2c73c.jpeg/full/3500,/0/default.jpg"
